antecedent,consequent,support,confidence,lift
Demand_Score,Butter,0.052302073822877264,1.0,3.30616645105649
Butter,Demand_Score,0.052302073822877264,0.17291936179387668,3.30616645105649
Shampoo,Butter,0.08477892265553671,0.6707946336429309,2.2177587132989873
Butter,Shampoo,0.08477892265553671,0.28029322984044847,2.2177587132989873
Coffee,Shampoo,0.011608190948219643,0.18816067653276955,1.488780089759282
Shampoo,Coffee,0.011608190948219643,0.09184726522187822,1.488780089759282
Coffee,Butter,0.02295552367288379,0.37209302325581395,1.2302014701605544
Butter,Coffee,0.02295552367288379,0.07589478223372143,1.2302014701605544
Coke,Butter,0.01591235163688535,0.29683698296836986,0.981392474522851
Butter,Coke,0.01591235163688535,0.05260888313928418,0.981392474522851
Sugar,Butter,0.013303769401330377,0.27419354838709675,0.9065295107735537
Butter,Sugar,0.013303769401330377,0.04398447606727038,0.9065295107735537
Oil,Butter,0.014216773183774619,0.27386934673366836,0.9054576461436116
Butter,Oil,0.014216773183774619,0.047003018542475204,0.9054576461436116
Biscuit,Butter,0.013955914960219121,0.2702020202020202,0.8933328541996071
Butter,Biscuit,0.013955914960219121,0.046140577835273824,0.8933328541996071
Milk,Butter,0.013173340289552629,0.2671957671957672,0.8833936813669457
Butter,Milk,0.013173340289552629,0.043553255713669685,0.8833936813669457
Tea,Butter,0.01408634407199687,0.2634146341463415,0.8708926261319535
Butter,Tea,0.01408634407199687,0.04657179818887452,0.8708926261319535
Juice,Butter,0.013303769401330377,0.26153846153846155,0.8646896871993898
Butter,Juice,0.013303769401330377,0.04398447606727038,0.8646896871993898
Chocolate,Butter,0.01291248206599713,0.24937027707808565,0.824459643966228
Butter,Chocolate,0.01291248206599713,0.042690815006468305,0.824459643966228
Toothpaste,Butter,0.012782052954219381,0.24623115577889448,0.8140811864410453
Butter,Toothpaste,0.012782052954219381,0.04225959465286762,0.8140811864410453
Cheese,Butter,0.012129907395330639,0.24281984334203655,0.8028028197082338
Butter,Cheese,0.012129907395330639,0.040103492884864166,0.8028028197082338
Pepsi,Butter,0.01173862005999739,0.23809523809523808,0.7871824883467833
Butter,Pepsi,0.01173862005999739,0.03880983182406209,0.7871824883467833
Coke,Shampoo,0.005086735359332203,0.0948905109489051,0.7508003585606352
Shampoo,Coke,0.005086735359332203,0.04024767801857585,0.7508003585606352
Paneer,Butter,0.011477761836441894,0.22278481012658227,0.7365636650454964
Butter,Paneer,0.011477761836441894,0.03794739111686071,0.7365636650454964
Soap,Butter,0.011608190948219643,0.2225,0.735622035360069
Butter,Soap,0.011608190948219643,0.038378611470461406,0.735622035360069
Rice,Butter,0.011347332724664145,0.21914357682619648,0.7245251416672912
Butter,Rice,0.011347332724664145,0.037516170763260026,0.7245251416672912
Salt,Butter,0.011086474501108648,0.2125,0.7025603708495042
Butter,Salt,0.011086474501108648,0.036653730056058646,0.7025603708495042
Maggie,Butter,0.010434328942219904,0.20565552699228792,0.6799314038162446
Butter,Maggie,0.010434328942219904,0.03449762828805519,0.6799314038162446
Tea,Shampoo,0.004043302465110213,0.07560975609756097,0.5982456140350877
Shampoo,Tea,0.004043302465110213,0.03199174406604747,0.5982456140350877
Oil,Shampoo,0.003912873353332464,0.07537688442211055,0.5964030679714362
Shampoo,Oil,0.003912873353332464,0.030959752321981424,0.5964030679714362
Biscuit,Shampoo,0.003782444241554715,0.07323232323232323,0.5794346978557505
Shampoo,Biscuit,0.003782444241554715,0.029927760577915376,0.5794346978557505
Milk,Shampoo,0.0032607277944437197,0.06613756613756613,0.523298988211269
Shampoo,Milk,0.0032607277944437197,0.025799793601651185,0.523298988211269
Rice,Shampoo,0.0032607277944437197,0.06297229219143577,0.4982544522515357
Shampoo,Rice,0.0032607277944437197,0.025799793601651185,0.4982544522515357
Juice,Shampoo,0.003130298682665971,0.06153846153846154,0.48690958164642384
Shampoo,Juice,0.003130298682665971,0.02476780185758514,0.48690958164642384
Pepsi,Shampoo,0.0028694404591104736,0.0582010582010582,0.4605031096259167
Shampoo,Pepsi,0.0028694404591104736,0.022703818369453045,0.4605031096259167
Toothpaste,Shampoo,0.002999869570888222,0.05778894472361809,0.4572423521114344
Shampoo,Toothpaste,0.002999869570888222,0.023735810113519093,0.4572423521114344
Salt,Shampoo,0.0028694404591104736,0.055,0.43517543859649127
Shampoo,Salt,0.0028694404591104736,0.022703818369453045,0.43517543859649127
Soap,Shampoo,0.0027390113473327246,0.0525,0.41539473684210526
Shampoo,Soap,0.0027390113473327246,0.021671826625386997,0.41539473684210526
Cheese,Shampoo,0.002478153123777227,0.04960835509138381,0.3925152306353351
Maggie,Shampoo,0.002478153123777227,0.04884318766066838,0.3864610111396744
Paneer,Shampoo,0.002478153123777227,0.04810126582278481,0.3805907172995781
Sugar,Shampoo,0.001956436676666232,0.04032258064516129,0.3190435766836446
Chocolate,Shampoo,0.0020868657884439805,0.04030226700251889,0.31888284944098283
